# source	meet_id	div_id	n	c_pct	iqr_pct	z	fan	fan_ratio	already
anet	153854	640872	21	+31.30	5.29	+9.2	-	1.13	OVERRIDE
anet	48570	207175	54	-26.85	15.72	-9.2	FAN	3.37	
anet	76646	304759	34	+32.17	8.13	+9.1	-	1.74	
anet	26663	219610	29	+30.25	5.01	+9.1	-	1.07	
anet	270255	1079573	25	+31.43	6.42	+9.1	-	1.37	OVERRIDE
anet	97153	387082	29	+30.33	5.46	+9.1	-	1.17	
tfrrs	11543	2	38	+31.59	8.19	+9.1	-	1.76	
anet	54536	232360	49	+33.19	11.57	+9.0	FAN	2.48	
tfrrs	4707	1	55	-22.78	5.93	-9.0	-	1.27	OVERRIDE
anet	46448	198461	26	+31.28	6.76	+9.0	-	1.45	
anet	72762	296344	94	-22.61	7.79	-9.0	-	1.67	
anet	19921	88782	27	+29.70	5.16	+8.9	-	1.11	
anet	234252	936668	13	+33.46	6.48	+8.9	-	1.39	
tfrrs	5431	4	39	+28.46	3.47	+8.9	-	0.74	OVERRIDE
anet	206323	827103	14	+31.08	5.16	+8.9	-	1.10	
tfrrs	5431	5	17	+27.95	1.46	+8.9	-	0.31	
anet	100835	396682	12	+30.34	4.34	+8.8	-	0.93	
anet	142026	594542	14	+33.17	6.83	+8.8	-	1.46	
tfrrs	24565	1	16	+29.27	3.99	+8.8	-	0.85	
anet	250011	994101	15	+29.64	4.27	+8.8	-	0.91	
tfrrs	5431	6	18	+27.90	2.03	+8.8	-	0.44	
tfrrs	12843	1	15	+31.53	5.98	+8.8	-	1.28	
tfrrs	6327	0	161	+50.04	50.26	+8.8	FAN	10.77	
anet	135661	572893	17	-25.14	8.00	-8.8	-	1.71	
anet	250011	994100	12	+28.43	2.73	+8.7	-	0.59	
anet	87320	346496	15	+29.14	4.01	+8.7	-	0.86	
anet	233869	934482	13	+31.52	5.74	+8.7	-	1.23	
anet	110241	436455	17	+37.17	10.34	+8.7	FAN	2.22	OVERRIDE
anet	78764	311605	12	+29.43	3.97	+8.7	-	0.85	
anet	250472	996653	15	+28.40	3.27	+8.7	-	0.70	
anet	260254	1033611	17	+28.24	3.27	+8.7	-	0.70	
tfrrs	9308	1	31	+28.51	4.93	+8.7	-	1.06	OVERRIDE
anet	121214	487180	51	+28.53	6.75	+8.7	-	1.45	
anet	244749	974464	13	+31.50	5.94	+8.7	-	1.27	
anet	92508	395672	20	-25.17	9.10	-8.6	FAN	1.95	
anet	246596	987004	28	+28.79	5.51	+8.6	-	1.18	
anet	185574	754597	15	+29.04	4.32	+8.6	-	0.93	
anet	272120	1084660	106	+27.26	4.90	+8.6	-	1.05	
anet	154848	645600	34	+34.20	12.62	+8.6	FAN	2.70	
anet	140767	586858	26	+31.21	8.51	+8.6	FAN	1.82	
anet	75397	302493	36	+27.72	4.75	+8.6	-	1.02	
anet	255698	1016832	18	+31.50	7.32	+8.6	-	1.57	
anet	124207	499447	51	+31.08	11.80	+8.5	FAN	2.53	
anet	80583	319210	16	-27.94	11.37	-8.5	FAN	2.44	
anet	24704	115844	13	+41.89	11.65	+8.5	FAN	2.50	
tfrrs	16076	1	29	+26.97	2.74	+8.5	-	0.59	
anet	143215	629133	42	+30.30	9.97	+8.5	FAN	2.14	
anet	61457	263442	44	+29.12	8.48	+8.5	FAN	1.82	
tfrrs	11177	1	33	+27.16	3.83	+8.5	-	0.82	
anet	58648	251030	32	+29.89	8.27	+8.5	-	1.77	
anet	125030	503410	14	+31.86	6.98	+8.5	-	1.49	
anet	250011	994096	16	+27.86	3.85	+8.5	-	0.82	
anet	271357	1080908	14	+32.98	7.72	+8.5	-	1.65	
anet	90147	355793	12	+30.35	5.50	+8.4	-	1.18	
anet	113176	449466	31	+28.40	6.36	+8.4	-	1.36	
anet	234038	935366	18	+28.26	4.73	+8.4	-	1.01	
tfrrs	23699	1	63	-21.15	4.89	-8.4	-	1.05	OVERRIDE
anet	234038	935365	23	+31.55	8.87	+8.4	FAN	1.90	
anet	45071	192835	17	+26.89	2.78	+8.4	-	0.60	
anet	237448	1001577	20	+28.87	5.88	+8.4	-	1.26	
anet	250011	994098	15	+27.58	3.83	+8.4	-	0.82	
anet	78764	311604	13	+30.12	5.82	+8.4	-	1.25	
anet	182341	744453	49	-21.61	6.90	-8.4	-	1.48	
anet	34678	301399	109	+26.38	5.26	+8.4	-	1.13	
anet	141947	594059	26	+28.21	6.10	+8.3	-	1.31	OVERRIDE
anet	148162	623441	42	+28.61	8.43	+8.3	FAN	1.81	
anet	140767	586859	17	+28.72	5.48	+8.3	-	1.17	
anet	241659	964262	27	+29.44	7.77	+8.3	-	1.67	
anet	124651	508597	16	+29.25	5.85	+8.3	-	1.25	
anet	100835	396681	17	+37.65	11.75	+8.3	FAN	2.52	
anet	175276	721415	23	+46.88	18.99	+8.3	FAN	4.07	
anet	237514	949530	28	+31.37	10.13	+8.3	FAN	2.17	
anet	250207	995070	54	+28.07	8.95	+8.3	FAN	1.92	OVERRIDE
anet	250207	995071	56	+27.78	8.69	+8.3	FAN	1.86	OVERRIDE
anet	231342	929241	15	-24.24	7.95	-8.2	-	1.70	
anet	247066	980281	18	+29.70	6.90	+8.2	-	1.48	
anet	95994	382378	83	+25.90	4.14	+8.2	-	0.89	
anet	154848	645601	34	+33.13	13.09	+8.2	FAN	2.80	
anet	259217	1029162	19	+35.13	11.14	+8.2	FAN	2.39	
anet	95614	379722	16	+27.87	4.90	+8.2	-	1.05	OVERRIDE
anet	60364	258544	18	+29.47	6.91	+8.2	-	1.48	OVERRIDE
anet	79220	313513	40	-22.26	9.15	-8.2	FAN	1.96	
anet	197575	791535	24	+26.73	4.56	+8.2	-	0.98	
anet	152297	632047	82	-22.15	12.97	-8.2	FAN	2.78	
anet	92508	395666	14	-29.25	12.86	-8.2	FAN	2.75	
anet	120729	485093	21	+27.74	5.82	+8.1	-	1.25	
anet	35433	302759	22	+26.71	4.57	+8.1	-	0.98	
anet	241937	974582	43	+27.08	7.53	+8.1	-	1.61	
anet	268322	1066670	52	+25.77	4.98	+8.1	-	1.07	
anet	213784	852878	23	-23.08	8.75	-8.1	FAN	1.87	
anet	73937	299229	17	+28.19	6.00	+8.1	-	1.28	
anet	150144	622998	33	+27.34	7.18	+8.1	-	1.54	
anet	15478	75460	14	+27.12	4.47	+8.1	-	0.96	
anet	15478	75459	18	+26.44	4.27	+8.0	-	0.92	
anet	22401	98814	35	+25.49	3.83	+8.0	-	0.82	
anet	239511	956667	68	-21.28	9.92	-8.0	FAN	2.13	
anet	161939	678217	17	+29.32	7.25	+8.0	-	1.55	
anet	27649	120400	15	-31.93	16.28	-8.0	FAN	3.49	
anet	148162	623443	31	+27.62	7.73	+8.0	-	1.66	
anet	36945	165839	14	+28.46	5.94	+8.0	-	1.27	
anet	35774	154828	16	+25.81	3.47	+8.0	-	0.74	
anet	250472	996659	19	+29.81	8.24	+8.0	-	1.76	
anet	32395	140546	31	+26.48	6.23	+7.9	-	1.33	
anet	46426	232860	39	+26.94	7.83	+7.9	-	1.68	
anet	126565	515855	16	+28.50	6.53	+7.9	-	1.40	
anet	136646	576525	14	+24.98	2.05	+7.9	-	0.44	
anet	268322	1066674	25	+25.73	4.45	+7.9	-	0.95	
anet	60364	258542	13	+30.32	7.24	+7.9	-	1.55	
anet	8111	37987	53	-27.02	22.24	-7.9	FAN	4.76	
anet	218417	873662	23	+24.88	2.60	+7.9	-	0.56	
anet	81696	323863	17	+25.35	3.29	+7.9	-	0.71	
anet	51683	220068	13	+28.53	6.05	+7.9	-	1.30	
anet	260254	1033612	32	+25.64	5.17	+7.9	-	1.11	
anet	226868	905470	40	+25.30	4.95	+7.9	-	1.06	
anet	32395	140545	56	+26.47	8.99	+7.9	FAN	1.93	
anet	232678	928873	39	+24.73	3.43	+7.9	-	0.73	
anet	250679	997616	34	-20.63	6.36	-7.8	-	1.36	
anet	243750	971054	48	+25.07	5.26	+7.8	-	1.13	
anet	2211	10407	12	+24.54	1.71	+7.8	-	0.37	
anet	47437	202472	21	+26.19	5.43	+7.8	-	1.16	
anet	70580	292398	35	-22.03	10.01	-7.8	FAN	2.14	
anet	259692	1031173	102	+25.19	8.76	+7.8	FAN	1.88	
anet	146710	624224	16	-42.48	27.85	-7.8	FAN	5.97	
anet	47437	202473	20	+26.00	5.14	+7.8	-	1.10	
anet	207559	832298	47	+25.14	6.02	+7.8	-	1.29	
anet	243972	983732	30	+25.02	4.60	+7.8	-	0.99	
anet	259399	1029966	52	+24.50	4.40	+7.8	-	0.94	
anet	226868	905474	15	+25.85	4.41	+7.8	-	0.94	
tfrrs	16076	0	32	+24.58	3.87	+7.7	-	0.83	
anet	90858	358346	67	+24.16	3.76	+7.7	-	0.81	
anet	125522	505917	12	+25.00	3.05	+7.7	-	0.65	
anet	217924	871713	35	+25.19	5.79	+7.7	-	1.24	
anet	231084	921991	34	-20.63	7.16	-7.7	-	1.53	
tfrrs	13624	1	14	-31.43	16.11	-7.7	FAN	3.45	
anet	208187	872434	40	+24.63	4.96	+7.7	-	1.06	
anet	76806	305517	13	+26.28	4.83	+7.7	-	1.03	
anet	61390	264687	12	+30.08	7.54	+7.7	-	1.62	
tfrrs	14668	1	56	-23.14	16.41	-7.6	FAN	3.51	
anet	75627	303624	84	+23.99	5.45	+7.6	-	1.17	
anet	177827	728515	19	+27.97	7.81	+7.6	-	1.67	
anet	270547	1077392	43	+26.43	9.53	+7.6	FAN	2.04	OVERRIDE
anet	223131	892648	57	+24.64	6.99	+7.6	-	1.50	
tfrrs	24911	0	20	-27.34	15.08	-7.6	FAN	3.23	
anet	200841	806114	15	+32.69	10.29	+7.6	FAN	2.20	
anet	270547	1077394	17	+31.25	9.99	+7.6	FAN	2.14	
anet	201141	807899	12	+32.56	9.16	+7.6	FAN	1.96	
anet	45452	201448	23	+27.77	8.54	+7.6	FAN	1.83	
anet	70510	291991	21	+24.62	4.46	+7.6	-	0.96	
anet	46809	199923	16	+26.33	5.91	+7.6	-	1.27	
anet	206345	827174	20	-19.95	4.88	-7.6	-	1.05	OVERRIDE
anet	217924	871714	14	+27.92	6.90	+7.6	-	1.48	
anet	234783	938985	18	+25.04	4.79	+7.6	-	1.03	
anet	19987	305555	103	+23.52	4.96	+7.5	-	1.06	
anet	261165	1036900	15	+23.98	3.01	+7.5	-	0.64	
anet	234932	939632	139	-19.36	9.35	-7.5	FAN	2.00	
anet	177178	725148	15	-23.67	9.48	-7.5	FAN	2.03	
anet	33119	143743	15	+28.25	7.54	+7.5	-	1.62	
anet	239277	955785	50	+23.41	3.55	+7.5	-	0.76	
anet	198254	794313	61	-20.02	9.21	-7.5	FAN	1.97	
anet	141474	591421	33	+26.27	8.73	+7.5	FAN	1.87	
anet	206228	826787	27	+26.03	7.68	+7.5	-	1.65	
tfrrs	4024	0	40	-21.22	10.75	-7.5	FAN	2.30	
anet	176011	729359	39	-20.33	8.47	-7.5	FAN	1.81	
anet	198746	796443	15	+26.70	6.44	+7.5	-	1.38	
anet	44972	192464	47	+23.03	2.33	+7.5	-	0.50	
anet	227226	906643	16	+23.08	1.71	+7.4	-	0.37	
anet	83900	329667	12	+25.09	4.46	+7.4	-	0.96	
anet	250011	994099	12	+30.77	8.60	+7.4	FAN	1.84	
anet	46426	232861	27	+30.00	12.23	+7.4	FAN	2.62	
anet	227226	906642	13	+24.54	4.09	+7.4	-	0.88	
anet	272120	1084661	29	+27.45	10.14	+7.4	FAN	2.17	
anet	5262	38053	19	+26.07	6.86	+7.4	-	1.47	
tfrrs	4289	0	49	+22.96	3.25	+7.4	-	0.70	
anet	218376	873520	99	+22.88	4.16	+7.4	-	0.89	
anet	223534	893830	25	+27.18	9.24	+7.4	FAN	1.98	
anet	147075	614737	14	+23.60	3.16	+7.4	-	0.68	
anet	45094	192885	87	+22.69	2.69	+7.4	-	0.58	
anet	150144	623000	29	+25.49	7.86	+7.4	-	1.68	
anet	105689	428676	13	+23.51	2.96	+7.4	-	0.63	
anet	45094	192887	42	+22.84	2.91	+7.4	-	0.62	
anet	180198	736763	30	+24.83	7.04	+7.4	-	1.51	
anet	136454	560987	21	+25.07	6.24	+7.4	-	1.34	
anet	222970	892045	25	+24.18	5.48	+7.3	-	1.17	
anet	130201	556964	80	-21.06	15.89	-7.3	FAN	3.40	
anet	47672	203484	26	+23.84	5.09	+7.3	-	1.09	
tfrrs	13624	2	36	+23.21	4.43	+7.3	-	0.95	
