  156998    654333  ov=  3218.0  UNIFORM_POS  n=  20 +20   -0    clean=0    iqr=  6.7 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   87658    348045  ov=  3218.0  PARTIAL      n=  20 +20   -0    clean=0    iqr= 19.9 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  258411   1026600  ov=  3200.0  UNIFORM_POS  n=  61 +61   -0    clean=0    iqr=  5.0 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  258411   1026599  ov=  3200.0  UNIFORM_POS  n=  83 +83   -0    clean=0    iqr= 10.0 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  219086    876940  ov=  8000.0  UNIFORM_POS  n= 124 +122  -0    clean=2    iqr=  7.7 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
    9263         1  ov=7998.4396799999995  UNIFORM_POS  n=  57 +57   -0    clean=0    iqr=  6.2 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  154814    645446  ov=  3000.0  PARTIAL      n= 195 +154  -0    clean=41   iqr= 24.3 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  116667    467336  ov=  3200.0  PARTIAL      n=  15 +0    -15   clean=0    iqr= 11.2 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
    9640         3  ov=4828.032  UNIFORM_POS  n=  60 +60   -0    clean=0    iqr=  8.5 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
    7312         1  ov=  8000.0  UNIFORM_POS  n=  45 +45   -0    clean=0    iqr=  4.5 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
    5337         1  ov=    6000  UNIFORM_NEG  n=  26 +0    -26   clean=0    iqr=  3.7 fan=-  wrong snap, label too SHORT -> page-verify drafted value
   92506    365294  ov=   804.0  PARTIAL      n=  49 +0    -29   clean=20   iqr= 28.2 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   41184    176798  ov=  3000.0  PARTIAL      n=  23 +23   -0    clean=0    iqr= 13.4 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
    5321         1  ov=7998.4396799999995  UNIFORM_POS  n=  26 +26   -0    clean=0    iqr=  5.3 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  220601    882786  ov=  8000.0  UNIFORM_POS  n=  65 +63   -0    clean=2    iqr=  9.4 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  201141    807890  ov=  2414.0  PARTIAL      n=  24 +24   -0    clean=0    iqr= 11.9 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   86848    344147  ov=  3218.0  PARTIAL      n=  54 +49   -0    clean=5    iqr= 13.2 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   15980         1  ov=6437.376  UNIFORM_POS  n=  25 +25   -0    clean=0    iqr= 10.0 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
    5260         1  ov=    4000  UNIFORM_NEG  n=  27 +0    -27   clean=0    iqr=  3.5 fan=-  wrong snap, label too SHORT -> page-verify drafted value
  271357   1080926  ov=  3218.0  UNIFORM_POS  n=  24 +24   -0    clean=0    iqr=  6.8 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  243310    988305  ov=  3218.0  PARTIAL      n=  26 +25   -0    clean=1    iqr= 13.1 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  208394    835124  ov=  6000.0  UNIFORM_POS  n=  29 +29   -0    clean=0    iqr=  8.4 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   85708    337474  ov=  5000.0  UNIFORM_POS  n=  80 +80   -0    clean=0    iqr=  7.2 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
    8383         0  ov=    4000  UNIFORM_NEG  n=  29 +0    -28   clean=1    iqr=  4.0 fan=-  wrong snap, label too SHORT -> page-verify drafted value
  246671    978424  ov=  1609.0  UNIFORM_NEG  n=  37 +0    -37   clean=0    iqr=  6.8 fan=-  wrong snap, label too SHORT -> page-verify drafted value
  220325    881868  ov=  8000.0  UNIFORM_POS  n=  49 +49   -0    clean=0    iqr=  7.7 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  106672    446458  ov=  1600.0  UNIFORM_NEG  n=  33 +0    -31   clean=2    iqr=  7.1 fan=-  wrong snap, label too SHORT -> page-verify drafted value
   92506    395634  ov=   804.0  PARTIAL      n=  41 +2    -26   clean=13   iqr= 26.0 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   85708    337476  ov=  5000.0  UNIFORM_POS  n=  50 +48   -0    clean=2    iqr=  7.9 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   32841    142494  ov=  3000.0  PARTIAL      n=  22 +22   -0    clean=0    iqr= 13.1 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  271943   1084499  ov=  2414.0  UNIFORM_POS  n=  41 +38   -0    clean=3    iqr=  6.5 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  250515    996803  ov=  3218.0  UNIFORM_POS  n=  34 +33   -0    clean=1    iqr= 10.0 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  206673    828418  ov=  5000.0  UNIFORM_POS  n=  41 +41   -0    clean=0    iqr=  4.8 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  203617    816331  ov=  8000.0  UNIFORM_POS  n=  53 +50   -0    clean=3    iqr=  6.7 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
    6055         1  ov=    4000  UNIFORM_NEG  n=  57 +0    -57   clean=0    iqr=  4.2 fan=-  wrong snap, label too SHORT -> page-verify drafted value
  270993   1079360  ov=  2414.0  PARTIAL      n=  69 +0    -52   clean=17   iqr= 11.1 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  206323    827104  ov=  5000.0  UNIFORM_POS  n=  25 +25   -0    clean=0    iqr=  6.0 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   92508    395664  ov=   804.0  PARTIAL      n=  35 +1    -29   clean=5    iqr= 13.8 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   10481     51504  ov=  4828.0  PARTIAL      n=  31 +0    -28   clean=3    iqr= 14.0 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  157060    654512  ov=  3200.0  PARTIAL      n=  20 +20   -0    clean=0    iqr= 18.6 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  127533    517369  ov=  3218.0  PARTIAL      n=  16 +16   -0    clean=0    iqr= 20.5 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  120781    492779  ov=  2000.0  PARTIAL      n=  19 +19   -0    clean=0    iqr= 13.5 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  100743    396233  ov=  2896.0  UNIFORM_POS  n=  13 +13   -0    clean=0    iqr=  9.9 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  250011    994097  ov=  3000.0  UNIFORM_POS  n=  30 +30   -0    clean=0    iqr=  5.7 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   54536    232361  ov=  3000.0  UNIFORM_POS  n=  32 +31   -0    clean=1    iqr=  7.4 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
    9691         2  ov=6356.9088  UNIFORM_POS  n=  23 +23   -0    clean=0    iqr=  6.3 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  124651    508593  ov=  2400.0  PARTIAL      n=  46 +45   -0    clean=1    iqr= 13.3 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   92508    395670  ov=   804.0  PARTIAL      n=  54 +0    -37   clean=17   iqr= 32.0 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  249940    993725  ov=  3218.0  PARTIAL      n=  55 +0    -50   clean=5    iqr= 10.8 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  196059    796883  ov=     0.0  PARTIAL      n=  28 +28   -0    clean=0    iqr= 15.6 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  156998    654335  ov=  3218.0  PARTIAL      n=  18 +18   -0    clean=0    iqr= 10.5 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  154814    645447  ov=  3000.0  PARTIAL      n= 130 +94   -0    clean=36   iqr= 23.6 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  135439    555162  ov=  3600.0  PARTIAL      n=  26 +26   -0    clean=0    iqr= 15.4 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  101744    400920  ov=  3000.0  UNIFORM_POS  n=  26 +25   -0    clean=1    iqr=  9.3 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   76803    305505  ov=  5000.0  UNIFORM_POS  n=  44 +44   -0    clean=0    iqr=  8.4 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  110241    436454  ov=  2500.0  PARTIAL      n=  24 +24   -0    clean=0    iqr= 17.3 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  234252    936667  ov=  3000.0  PARTIAL      n=  37 +37   -0    clean=0    iqr= 14.8 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  214067    853965  ov=  8000.0  UNIFORM_POS  n=  99 +96   -0    clean=3    iqr=  8.6 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  174682    716985  ov=  2993.0  PARTIAL      n=  12 +0    -12   clean=0    iqr= 10.8 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
