# meets_tf DEAD-END venues (no venue name, no gps twin). Fill gps_lat/gps_long by hand where the meet names reveal a place.
# location_id	n_divs	n_meets	states	sample_meet_names	gps_lat	gps_long
# auto-filled 2026-07-11 by fill_deadend_venues.py (per-row rule in provenance sidecar)
141514	66	2	IA	Martensdale HS Coed | Martensdale MS Coed	41.374	-93.739
141341	66	3	PA	Germantown Academy #1 | Springside Chestnut Hill #1 | Springside Chestnut Hill #2	40.138	-75.220
141873	66	1	PA	CYO Area I		
112938	64	2	OS	Iiaag Meet #2 | Iiaag Track & Field Meet #1	13.470	144.790
141599	64	1	NE	Fairbury JH Invite	40.140	-97.180
142732	64	1	OH	Central District Indoor Championships	39.960	-83.000
112935	63	1	OS	Okinawa Quad #4	26.340	127.800
112948	62	1	OS	O.A.A.C. Quad Meet	26.340	127.800
112879	62	1	OS	Weekly Quadrangular	26.340	127.800
112880	60	1	OS	Weekly Quadrangular -Field Events	26.340	127.800
112883	60	2	OS	Weekly Okinawa Quadrangular | Weekly Quadrangular - Running Events	26.340	127.800
142458	59	2	NY	Section 7 CVAC League Meets # 3A and 3B | Section 7 CVAC League Meets # 3B	44.700	-73.450
113012	58	2	os	Last Chance (Make-up meet for 24 Mar) | OMHS Invitational (MS)		
112973	58	1	OS	Screaming Eagle Track Meet		
112981	58	1	os	Kanto #3 Oi Futo	35.580	139.760
112982	58	1	os	Kanto #4A Oi Futo	35.580	139.760
112959	58	1	OS	Kanto Schools #4	35.680	139.760
113000	58	1	OR	Reedsport Middle School Meet	43.702	-124.097
141156	57	1	NY	Iona/Ursuline Invite	40.920	-73.780
112903	57	1	OS	Kanto Schools Meet D-2	35.680	139.760
140577	57	2	MO	Eureka Boys Invite | Kimball-Wintermeyer Invitational	38.503	-90.628
112904	56	2	OS	ISST Championships 2012 Day 1 | ISST Championships 2012 Day 2		
138150	56	2	FL	Lightning Sprint Out 2 | Lightning Sprint Out 3		
142376	56	2	NC	GC Middle Schools Invitational | Panther Invitational		
112936	56	1	OS	Okinawa District Finals	26.340	127.800
112892	54	1	OS	ISST Brussels 2011	50.850	4.350
141704	53	2	PA	Malvern Prep #2 | PAISAA	40.040	-75.510
