# n_meets	state	city	venue_name	location_raw	gps_lat	gps_long   (fill the last two with your geocoder)
2	MN		St. Cloud State	St. Cloud State St. Cloud, MN 56301		
2	MN		Como Golf Course, St. Paul	Como Golf Course, St. Paul St. Paul, MN 55116		
2	WA		Lower Woodland Park	Lower Woodland Park Seattle, WA 98103		
2	TN		Family Life Center	Family Life Center 250 Old Farmers Rd Clarksville, TN 37040		
2			Core Creek Park	Core Creek Park woodbourne road langhorne, pa 19047		
2	MN		Bethel MN	Bethel MN St. Paul, MN 55112		
2	OH		Ottawa Golf Course	Ottawa Golf Course Toledo, OH 43606		
2	CA		Fairbanks Cross Country Park	Fairbanks Cross Country Park San Luis Obisbo, CA 93405		
2	NY		Beaver Island State Park	Beaver Island State Park 2136 Oakfield Road Grand Island, NY 14072		
2	NV		Mira Loma Park	Mira Loma Park Reno, NV 89502		
2	CA		Riverside Cross Country Course	Riverside Cross Country Course Riverside, CA 92501		
2	MT		U Montana	U Montana Missoula, MT 59801		
2	MN		East Complex	East Complex Moorhead, MN 56562		
2	GA		ALBANY STATE UNIVERSITY	ALBANY STATE UNIVERSITY ALBANY, GA 31705		
2	PA		Washington & Jefferson College	Washington & Jefferson College Washington, PA 15301		
2	PA		Marywood University	Marywood University Scranton, PA 18509		
2			Pembroke HS	Pembroke HS Pembroke, MA 2358		
2	CA		California	California Berkeley, CA 94720		
2	ME		Saxl Park	Saxl Park Bangor, ME 04469		
2	IN		Earlham	Earlham Richmond, IN 47374		
2	TX	San Antonio	Olmos Basin Park	Olmos Basin Park San Antonio, TX		
2	IL		Detweiller Park	Detweiller Park Peoria, IL 61614		
2	CA		Beau Pre Golf Course	Beau Pre Golf Course McKinleyville, CA 95521		
2	NH		Grimes Field	Grimes Field Hillsbrough, NH 03244		
2	TN		Sewanee Golf Course	Sewanee Golf Course Sewanee, TN 37383		
2	CA	Millbrae	Crystal Springs XC Course	Crystal Springs XC Course Millbrae, CA		
2	PA		Baker Field, Lancaster, PA	Baker Field, Lancaster, PA Lancaster, PA 17604		
2	FL	Sumterville	Silo Oaks	Silo Oaks Sumterville, FL		
2	FL		TCA Campus	TCA Campus Lake Worth, FL 33463		
2	IN	Borden	Warpath	Warpath Borden, IN		
2	MA	WILLIAMSTOWN	MT GREYLOCK HS	MT GREYLOCK HS WILLIAMSTOWN, MA		
2	IN		Conference	Conference 1 Squire Drive North Manchester, IN 46962		
2	FL		Cocoa Beach	Cocoa Beach Cocoa Beach, FL 32931		
2	CA	San Rafael	Dominican Home Course	Dominican Home Course San Rafael, CA		
2	MI		University Park Golf Course	University Park Golf Course , MI		
2	NC	Wingate	Wingate	Wingate Wingate, NC		
2	FL		Hagerty High School	Hagerty High School Oviedo, FL 32765		
2	ME		Colby College	Colby College Waterville, ME 04901		
2	FL		Ives Estate Park	Ives Estate Park Miami, FL 33179		
2	VA	Axton	Smith River Sports Complex	Smith River Sports Complex Axton, VA		
2	CA	Millbrae	Crystal Springs Course	Crystal Springs Course Millbrae, CA		
2	FL		Bishop Verot	Bishop Verot Ft. Myers, FL 33919		
2			NMU Golf Course	NMU Golf Course Marquette, Mi 49855		
2	FL	Stuart	Pine School	Pine School Stuart, FL		
2	WI		Concordia (Wis.)	Concordia (Wis.) Mequon, WI 53097		
2	IN	Nappanee	NorthWood	NorthWood Nappanee, IN		
2	FL		William F. Sheffield Regional Park	William F. Sheffield Regional Park Jacksonville, FL 32209		
2	FL		Jackson	Jackson Jacksonville, FL 32206		
2	FL		Lake Placid	Lake Placid Lake Placid, FL 33852		
2	PR		UPRRP	UPRRP San Juan, PR 00925		
2	MA		Hampshire College	Hampshire College Hampshire, MA 01002		
2	TN	Maryville	Maryville College	Maryville College Maryville, TN		
2	FL	Tampa	Ed Radice Park	Ed Radice Park Tampa, FL		
2	OH	Wilberforce	Wilberforce University	Wilberforce University Wilberforce, OH		
2	FL		Centennial	Centennial 1485 SW Cashmere Blvd Port St. Lucie, FL 34986		
2	PA		PSU Brandywine	PSU Brandywine 25 Yearsley Mill Road Media, PA 19063		
2	FL		Palmer Trinity	Palmer Trinity Miami, FL 33157		
2	AL		TRM	TRM Brewton, AL 36527		
2	IN	Veedersburg	Fountain Central HS	Fountain Central HS Veedersburg, IN		
2	HI		BYU-Hawaii	BYU-Hawaii Laie, HI 96762		
2	OH		FRANCISCAN UNIVERSITY	FRANCISCAN UNIVERSITY STEUBENVILLE, OH 43952		
2	PA		Bicentennial Park	Bicentennial Park Bethlehem, PA 18017		
2	MT		Bill Roberts Golf Course	Bill Roberts Golf Course Helena, MT 59601		
2			Wilmington (Ohio)	Wilmington (Ohio) Wilmington, Ohio 45177		
2	PA	Waynesburg	Greene County Airport	Greene County Airport Waynesburg, PA		
2	CA	San Rafael	Dominican University XC Course	Dominican University XC Course San Rafael, CA		
2	FL		Bulldog XC Course	Bulldog XC Course Frostproof, FL 33843		
2	AZ		Central Arizona	Central Arizona Coolidge, AZ 85228		
2	FL	St. Augustine	FSDB	FSDB St. Augustine, FL		
2	IA		Noelridge Park	Noelridge Park Cedar Rapids, IA 50428		
2	IN		Huntington University	Huntington University Huntington, IN 46750		
2	PA		Bicentennial Park	Bicentennial Park 5351 Park West Lane Northampton, PA 18067		
2	CA		Arroyo Verde Park	Arroyo Verde Park Ventura, CA 93003		
2	WA	Spokane	Spokane Polo Fields	Spokane Polo Fields Spokane, WA		
2	PA		CTC Championships Cross Country Course	CTC Championships Cross Country Course Center Valley, PA 18034		
2	PA		Immaculata Cross Country Course	Immaculata Cross Country Course Malvern, PA 19345		
2	FL		Holloway Park	Holloway Park - Lakeland, FL Lakeland, FL 32806		
2	FL		UWF	UWF Pensacola, FL 32504		
2	FL		Hamilton County	Hamilton County Jasper, FL 32052		
2	FL		Eagles XC Course	Eagles XC Course Daytona Beach, FL 32114		
2	WI	Kenosha	Wayne E. Dannehl National Cross Country	Wayne E. Dannehl National Cross Country Kenosha, WI		
2	CO		Fort Lewis	Fort Lewis 2300 Rim Drive Durango, CO 81301		
2	FL	Belleview	Belleview	Belleview Belleview, FL		
2	FL		Ridgeview	Ridgeview Orange Park, FL 32065		
2	OH		Walsh University	Walsh University North Canton, OH 44720		
2	MA		Franklin Park	Franklin Park Boston, MA 02130		
2	FL	Pace	Pace Soccer Complex	Pace Soccer Complex Pace, FL		
2	PA		Berks Youth Recreation Facility	Berks Youth Recreation Facility 1098 County Welfare Road Leesport, PA 19533		
2	NC		Asheville Christian Academy	Asheville Christian Academy Swannanoa, NC 28645		
2	PA		Baker Field	Baker Field Lancaster, PA 17602		
2	LA		UNO	UNO New Orleans, LA 70122		
2	TX		Westlake TX	Westlake TX Austin, TX 78746		
2	IL		Channahon Park	Channahon Park 23304 W. McClintock Rd. Channahon, IL 60410		
2	NJ		Stockton University	Stockton University Galloway, NJ 08205		
2	FL		Cottondale	Cottondale Cottondale, FL 32431		
2	PR		U.P.R. Cayey	U.P.R. Cayey Cayey, PR 00714		
2	FL	Davenport	Ridge Community HS	Ridge Community HS Davenport, FL		
2	NY		Jamesville Beach State Park	Jamesville Beach State Park Jamesville, NY 13502		
2	FL		Cottondale	Cottondale Cottondale, FL 32312		
2	PA	Gibsonia	Eden Hall	Eden Hall Gibsonia, PA		
2	OH		Oberlin College	Oberlin College Oberlin, OH 44074		
2	IN		Huntington Univ	Huntington Univ Huntington, IN 46750		
2	FL		East Ridge High School	East Ridge High School Clermont, FL 34711		
2	TX		Joyce Family Athletic Village	Joyce Family Athletic Village Longview, TX 75607		
2	KS		JCCC	JCCC Overland Park, KS 66210		
2	FL		Trinity Prep XC Course	Trinity Prep XC Course Winter Park, FL 32792		
2	MD		The Hawks XC Pavilion	The Hawks XC Pavilion 1 College Backbone Road Princess Anne, MD 21853		
2	NY	Farmingdale	Bethpage State Park	Bethpage State Park Farmingdale, NY		
2	FL		South Lake High School	South Lake High School Groveland, FL 34736		
2	IL		Southern Illinois	Southern Illinois Carbondale, IL 62901		
