# source	meet_id	div_id	n	c_pct	iqr_pct	z	already
tfrrs	81926	None	65	-9.28	6.75	-5.7	
tfrrs	48791	None	134	-8.53	4.80	-5.7	
tfrrs	35482	None	22	-11.34	7.29	-5.7	
tfrrs	14131	None	66	-9.25	6.72	-5.7	
tfrrs	33944	None	32	-9.36	4.94	-5.7	
tfrrs	89687	None	27	-9.61	5.08	-5.7	
tfrrs	13265	None	56	-8.80	4.49	-5.7	
tfrrs	18227	None	256	-8.29	2.55	-5.7	
tfrrs	42426	None	223	-8.33	3.25	-5.7	
tfrrs	60702	None	13	-10.68	4.88	-5.7	
tfrrs	68690	None	101	-8.64	5.08	-5.7	
tfrrs	10031	None	79	-8.60	4.30	-5.7	
tfrrs	5548	None	29	-10.79	7.50	-5.7	
tfrrs	76574	None	98	-8.44	3.51	-5.7	
tfrrs	43192	None	28	-8.81	3.27	-5.7	
tfrrs	54141	None	141	-8.44	4.25	-5.7	
tfrrs	73507	None	22	-9.43	4.28	-5.7	
tfrrs	47065	None	54	-9.22	6.03	-5.7	
tfrrs	32517	None	17	-11.25	6.33	-5.7	
tfrrs	62147	None	68	-8.44	3.01	-5.7	
tfrrs	9297	None	15	-9.51	3.67	-5.7	
anet	73635	1	27	-9.20	4.24	-5.7	
anet	383080	1	69	+9.98	6.30	+5.7	
anet	371395	2	12	-13.23	7.27	-5.7	
tfrrs	34692	None	46	-9.56	6.57	-5.7	
tfrrs	90695	None	67	-8.85	5.27	-5.7	
tfrrs	65228	None	24	-9.98	5.52	-5.7	
tfrrs	33424	None	26	-9.94	5.67	-5.7	
tfrrs	86768	None	29	-9.31	4.67	-5.7	
tfrrs	78856	None	18	-10.53	5.59	-5.7	
tfrrs	48672	None	19	-10.84	6.17	-5.7	
tfrrs	42883	None	30	-9.23	4.56	-5.6	
tfrrs	77647	None	78	-8.63	4.56	-5.6	
anet	186929	1	12	-9.09	2.67	-5.6	
anet	409819	1	28	-10.77	7.39	-5.6	
tfrrs	27694	None	112	-8.43	3.90	-5.6	
tfrrs	12777	None	31	-8.97	3.97	-5.6	
tfrrs	35017	None	33	-9.15	4.61	-5.6	
tfrrs	47662	None	145	-8.37	3.83	-5.6	
tfrrs	59757	None	75	-9.14	6.91	-5.6	
anet	464195	1	29	-11.27	8.36	-5.6	
tfrrs	78734	None	107	-8.73	6.04	-5.6	
tfrrs	85190	None	14	-10.33	4.69	-5.6	
tfrrs	78861	None	21	-8.95	3.23	-5.6	
tfrrs	91328	None	29	-8.96	3.84	-5.6	
tfrrs	19103	None	57	-9.36	6.76	-5.6	
tfrrs	12418	None	43	-8.59	3.27	-5.6	
tfrrs	45910	None	34	-8.82	3.74	-5.6	
tfrrs	12012	None	45	-9.65	6.79	-5.6	
tfrrs	31321	None	98	-8.93	6.95	-5.6	
tfrrs	22251	None	87	-8.44	3.66	-5.6	
tfrrs	46413	None	41	-9.00	4.73	-5.6	
tfrrs	28168	None	14	-10.05	4.36	-5.6	
tfrrs	39342	None	61	-8.84	5.14	-5.6	
tfrrs	32017	None	77	-9.05	6.69	-5.6	
tfrrs	44225	None	40	-9.70	6.56	-5.6	
anet	130539	1	18	-9.15	3.44	-5.6	
tfrrs	33893	None	61	-9.00	5.79	-5.6	
tfrrs	86876	None	50	-9.20	5.90	-5.6	
tfrrs	84157	None	45	-9.37	6.10	-5.6	
tfrrs	24093	None	49	-9.23	5.93	-5.6	
anet	563241	1	42	+9.85	4.73	+5.6	
tfrrs	59720	None	18	+13.21	7.14	+5.6	
anet	362428	1	26	-8.99	3.78	-5.6	
tfrrs	77583	None	42	-8.65	3.60	-5.6	
anet	70732	1	34	+10.50	5.65	+5.6	
anet	403810	1	36	+12.46	9.05	+5.6	
tfrrs	54754	None	60	-8.31	2.20	-5.6	
tfrrs	50084	None	20	-10.48	5.90	-5.6	
tfrrs	72032	None	121	-8.41	4.29	-5.6	
tfrrs	58673	None	64	-9.31	7.13	-5.6	
tfrrs	19534	None	26	-8.68	2.95	-5.6	
tfrrs	52995	None	83	-8.51	4.24	-5.6	
anet	344209	1	34	+11.31	7.08	+5.6	
anet	76990	1	21	-10.33	5.83	-5.6	
tfrrs	81173	None	35	-8.79	3.84	-5.6	
tfrrs	84844	None	17	-9.29	3.65	-5.6	
tfrrs	56207	None	36	-8.91	4.28	-5.6	
tfrrs	35268	None	34	-9.87	6.50	-5.6	
tfrrs	60129	None	25	-12.60	9.79	-5.6	
tfrrs	68896	None	50	-10.58	9.61	-5.6	
anet	96469	1	72	+9.24	3.77	+5.6	
tfrrs	66480	None	94	-8.72	5.94	-5.6	
tfrrs	75651	None	51	-8.76	4.56	-5.6	
tfrrs	50301	None	39	-9.72	6.63	-5.6	
tfrrs	43359	None	55	-8.37	2.78	-5.6	
tfrrs	82609	None	68	-9.33	7.49	-5.6	
tfrrs	68023	None	18	-9.31	3.82	-5.6	
tfrrs	46957	None	32	-8.72	3.49	-5.6	
tfrrs	74240	None	36	-9.49	5.87	-5.6	
tfrrs	74599	None	74	-8.41	3.55	-5.6	
tfrrs	13780	None	72	-8.95	6.28	-5.6	
tfrrs	71863	None	85	-8.39	3.70	-5.6	
tfrrs	34340	None	58	-9.41	7.22	-5.6	
tfrrs	79231	None	78	-8.61	4.92	-5.6	
anet	645263	4	14	-8.91	2.72	-5.6	
tfrrs	76372	None	43	-9.47	6.39	-5.6	
tfrrs	74734	None	50	-9.01	5.47	-5.6	
tfrrs	76068	None	108	-8.69	6.31	-5.6	
anet	59535	1	14	+15.11	7.89	+5.6	
anet	438003	1	26	+9.47	3.00	+5.6	
tfrrs	56141	None	28	-8.82	3.61	-5.6	
anet	243444	1	15	-10.36	5.02	-5.6	
tfrrs	14476	None	40	-8.76	4.11	-5.6	
tfrrs	91003	None	73	-8.56	4.52	-5.6	
tfrrs	14972	None	21	-9.54	4.60	-5.6	
tfrrs	41025	None	67	-8.91	5.97	-5.6	
tfrrs	90766	None	57	-8.82	5.14	-5.6	
tfrrs	44702	None	54	-8.74	4.72	-5.6	
tfrrs	19242	None	35	-9.29	5.35	-5.6	
tfrrs	72219	None	38	-8.82	4.23	-5.6	
