# source	meet_id	div_id	n	c_pct	iqr_pct	z	already
tfrrs	83656	None	40	-8.74	5.01	-5.4	
anet	251632	1	13	-12.66	7.57	-5.4	
tfrrs	15855	None	72	-8.97	7.63	-5.4	
tfrrs	48226	None	78	-8.22	4.35	-5.4	
tfrrs	87642	None	89	-8.17	4.35	-5.4	
tfrrs	47066	None	69	-8.07	3.18	-5.4	
tfrrs	15743	None	73	-8.54	5.92	-5.4	
tfrrs	66678	None	80	-8.03	3.05	-5.4	
anet	209179	2	31	+9.93	5.17	+5.4	
tfrrs	45197	None	22	-9.43	5.11	-5.4	
tfrrs	96134	None	99	-8.34	5.77	-5.4	
tfrrs	54855	None	90	-8.59	6.85	-5.4	
tfrrs	57517	None	155	-8.15	5.62	-5.4	
tfrrs	48206	None	59	-8.24	3.99	-5.4	
tfrrs	45071	None	249	-7.91	3.11	-5.4	
tfrrs	30904	None	64	-8.15	3.65	-5.4	
anet	69673	1	86	+9.01	4.95	+5.4	
tfrrs	47342	None	14	-12.50	7.72	-5.4	
tfrrs	9888	None	14	-8.94	3.33	-5.4	
tfrrs	31769	None	19	-9.31	4.56	-5.4	
tfrrs	46632	None	28	-9.22	5.34	-5.4	
tfrrs	81227	None	55	-8.27	3.99	-5.4	
tfrrs	82957	None	30	-8.67	4.21	-5.4	
anet	628852	1	21	-9.57	5.26	-5.4	
tfrrs	71248	None	63	-8.33	4.63	-5.4	
tfrrs	55626	None	41	-8.22	3.26	-5.4	
anet	413356	1	42	-8.77	5.29	-5.4	
tfrrs	75676	None	123	-8.28	6.11	-5.4	
tfrrs	30950	None	56	-8.28	4.11	-5.4	
tfrrs	27739	None	65	-8.33	4.69	-5.4	
tfrrs	64252	None	55	-8.32	4.28	-5.4	
tfrrs	8224	None	85	-9.28	9.58	-5.4	
tfrrs	22256	None	21	-8.89	4.01	-5.4	
tfrrs	50701	None	141	-8.01	4.06	-5.4	
anet	656595	1	201	+8.79	5.80	+5.4	
tfrrs	45102	None	39	-9.66	7.40	-5.4	
tfrrs	48310	None	18	-8.31	2.46	-5.4	
tfrrs	75034	None	29	-8.51	3.76	-5.4	
tfrrs	46935	None	133	-9.16	11.47	-5.4	
anet	154354	1	14	-8.65	2.87	-5.4	
tfrrs	50761	None	15	-9.08	3.72	-5.4	
tfrrs	67058	None	50	-8.48	4.81	-5.4	
tfrrs	44331	None	50	-8.66	5.46	-5.4	
tfrrs	5268	None	15	-8.65	2.98	-5.4	
tfrrs	75557	None	310	-7.93	4.63	-5.4	
tfrrs	54794	None	85	-8.24	4.96	-5.4	
tfrrs	69994	None	23	-8.31	2.81	-5.4	
anet	354820	1	27	-9.58	6.02	-5.4	
tfrrs	45088	None	13	-8.71	2.88	-5.4	
tfrrs	43578	None	66	-8.71	6.52	-5.4	
tfrrs	15959	None	39	-8.75	5.13	-5.4	
anet	229303	1	50	-8.45	4.73	-5.4	
tfrrs	95452	None	73	-8.13	3.94	-5.4	
tfrrs	37986	None	80	-8.47	6.10	-5.4	
tfrrs	14558	None	73	-8.50	5.97	-5.4	
tfrrs	82882	None	122	-8.03	4.23	-5.4	
anet	263837	1	40	+10.41	7.00	+5.4	
tfrrs	11835	None	107	-8.01	3.78	-5.4	
tfrrs	60358	None	14	-10.86	5.97	-5.4	
tfrrs	29052	None	43	-9.49	7.42	-5.4	
tfrrs	37239	None	222	-8.04	5.99	-5.4	
tfrrs	61314	None	69	-8.41	5.46	-5.3	
tfrrs	60008	None	21	-9.69	5.53	-5.3	
anet	226400	1	66	+9.26	5.63	+5.3	
anet	81422	1	83	+8.89	4.54	+5.3	
tfrrs	19104	None	33	-8.65	4.49	-5.3	
tfrrs	59726	None	31	-9.71	6.78	-5.3	
tfrrs	68892	None	33	-8.73	4.72	-5.3	
anet	96461	1	82	+8.88	4.53	+5.3	
tfrrs	66476	None	90	-8.49	6.65	-5.3	
tfrrs	73269	None	154	-8.07	5.40	-5.3	
tfrrs	18229	None	243	-7.86	3.09	-5.3	
tfrrs	8173	None	21	-8.97	4.27	-5.3	
tfrrs	13818	None	143	-8.44	8.08	-5.3	
tfrrs	41177	None	29	-9.23	5.60	-5.3	
tfrrs	89196	None	35	-9.63	7.03	-5.3	
tfrrs	3573	None	15	-9.02	3.69	-5.3	
anet	572214	1	52	-9.38	7.91	-5.3	
tfrrs	8413	None	44	-8.70	5.36	-5.3	
anet	311663	1	22	+10.37	5.17	+5.3	
anet	86083	1	41	-8.94	5.89	-5.3	
tfrrs	45055	None	27	-9.81	6.53	-5.3	
tfrrs	84314	None	20	-9.59	5.26	-5.3	
tfrrs	62382	None	61	-8.03	3.13	-5.3	
anet	563225	1	63	+9.11	5.00	+5.3	
anet	223951	1	93	+8.72	3.85	+5.3	
tfrrs	85967	None	59	-8.44	5.25	-5.3	
tfrrs	53562	None	71	-8.09	3.89	-5.3	
tfrrs	39618	None	69	-8.22	4.58	-5.3	
tfrrs	18610	None	70	-8.31	5.12	-5.3	
anet	612037	3	31	+10.29	6.03	+5.3	
anet	302190	1	73	+9.15	5.56	+5.3	
tfrrs	60121	None	40	-8.81	5.49	-5.3	
tfrrs	54432	None	105	-8.26	5.94	-5.3	
tfrrs	51237	None	73	-8.07	3.84	-5.3	
anet	65144	1	44	+9.84	6.20	+5.3	
tfrrs	87497	None	56	-8.83	6.59	-5.3	
tfrrs	46561	None	28	-8.48	3.75	-5.3	
tfrrs	61341	None	113	-8.02	4.38	-5.3	
anet	167598	1	18	+10.28	4.60	+5.3	
tfrrs	40710	None	76	-8.11	4.21	-5.3	
tfrrs	45754	None	47	-9.27	7.29	-5.3	
tfrrs	61916	None	56	-8.23	4.25	-5.3	
tfrrs	38187	None	28	-8.31	3.27	-5.3	
tfrrs	59820	None	40	-8.59	4.88	-5.3	
anet	202320	1	45	+9.12	4.33	+5.3	
tfrrs	79889	None	23	-8.68	3.90	-5.3	
tfrrs	95704	None	61	-8.14	4.01	-5.3	
anet	612714	1	77	+9.28	6.36	+5.3	
tfrrs	56416	None	32	-8.04	2.50	-5.3	
tfrrs	5315	None	150	-8.24	7.13	-5.3	
tfrrs	68329	None	20	-9.25	4.76	-5.3	
tfrrs	85331	None	26	-9.71	6.31	-5.3	
tfrrs	72623	None	43	-8.99	6.30	-5.3	
tfrrs	76912	None	24	-8.04	2.17	-5.3	
tfrrs	30902	None	49	-8.58	5.42	-5.3	
anet	437961	1	29	+11.03	7.10	+5.3	
tfrrs	44693	None	59	-8.12	3.92	-5.3	
tfrrs	44608	None	63	-8.33	5.09	-5.3	
anet	158783	5	14	-8.65	3.04	-5.3	
anet	495582	1	12	-11.12	5.89	-5.3	
tfrrs	32651	None	47	-9.06	6.78	-5.3	
tfrrs	60143	None	53	-8.14	3.82	-5.3	
tfrrs	16865	None	192	-7.92	4.82	-5.3	
tfrrs	61061	None	21	-11.41	8.21	-5.3	
tfrrs	37061	None	51	-8.52	5.34	-5.3	
tfrrs	28956	None	20	-8.63	3.59	-5.3	
tfrrs	84531	None	75	-8.29	5.39	-5.3	
anet	197487	1	21	+9.97	4.57	+5.3	
tfrrs	67605	None	30	-9.08	5.50	-5.3	
tfrrs	8415	None	35	-9.31	6.48	-5.3	
anet	269369	1	12	-8.26	2.10	-5.3	
tfrrs	5005	None	27	-9.45	5.98	-5.3	
tfrrs	6176	None	27	-9.45	5.98	-5.3	
tfrrs	37146	None	19	-9.40	4.94	-5.3	
tfrrs	71621	None	254	-7.91	5.54	-5.3	
tfrrs	25123	None	40	-8.49	4.66	-5.3	
anet	493926	1	42	-11.91	12.60	-5.3	
tfrrs	47770	None	12	-14.33	9.08	-5.3	
tfrrs	95315	None	84	-8.10	4.64	-5.3	
tfrrs	60556	None	125	-8.02	4.96	-5.3	
anet	259968	1	69	+9.20	5.87	+5.3	
anet	476828	1	15	+9.05	2.46	+5.3	
anet	225924	1	23	+9.91	4.72	+5.3	
tfrrs	90113	None	50	-8.26	4.33	-5.3	
anet	432869	1	25	-8.22	2.95	-5.3	
tfrrs	11884	None	16	-10.25	5.74	-5.3	
anet	53776	1	23	-8.75	4.16	-5.3	
tfrrs	67341	None	112	-8.12	5.58	-5.3	
tfrrs	84293	None	17	-12.59	8.84	-5.3	
tfrrs	73916	None	120	-8.15	5.97	-5.3	
anet	45646	1	13	-54.98	56.86	-5.3	
tfrrs	52760	None	174	-7.84	3.69	-5.3	
tfrrs	47349	None	114	-7.99	4.56	-5.3	
anet	218927	1	15	-9.17	4.06	-5.3	
tfrrs	56432	None	85	-7.99	3.99	-5.3	
anet	618924	3	18	-13.54	10.22	-5.3	
tfrrs	47202	None	315	-7.81	4.39	-5.3	
tfrrs	28544	None	32	-10.74	9.04	-5.3	
tfrrs	85154	None	37	-8.53	4.68	-5.3	
anet	345251	1	19	+14.31	9.26	+5.3	
tfrrs	96315	None	53	-8.47	5.39	-5.3	
tfrrs	77142	None	45	-8.73	5.82	-5.3	
tfrrs	12554	None	51	-8.32	4.72	-5.3	
anet	283001	1	66	+9.27	6.09	+5.3	
tfrrs	63754	None	14	-11.40	6.75	-5.3	
tfrrs	60582	None	47	-8.18	3.98	-5.3	
tfrrs	11901	None	55	-9.21	7.96	-5.3	
anet	174750	3	21	-9.89	6.07	-5.3	
tfrrs	95603	None	73	-7.98	3.78	-5.3	
tfrrs	71988	None	125	-8.19	6.57	-5.3	
anet	448091	1	50	+8.90	4.06	+5.3	
anet	405849	5	50	+9.01	4.48	+5.3	
tfrrs	49886	None	98	-8.20	5.88	-5.3	
tfrrs	73801	None	31	-10.21	7.98	-5.3	
tfrrs	40759	None	46	-8.30	4.46	-5.3	
tfrrs	85560	None	188	-7.90	5.17	-5.3	
anet	316128	2	12	+11.77	5.33	+5.3	
tfrrs	63725	None	278	-7.79	4.24	-5.3	
tfrrs	62353	None	99	-8.00	4.59	-5.3	
anet	167756	1	79	+8.83	4.84	+5.3	
tfrrs	66841	None	32	-8.73	4.96	-5.3	
tfrrs	35052	None	45	-9.44	7.84	-5.3	
tfrrs	54912	None	31	-8.69	4.78	-5.3	
tfrrs	13229	None	44	-8.84	6.15	-5.3	
tfrrs	14990	None	101	-8.02	4.85	-5.3	
tfrrs	55783	None	30	-8.75	4.87	-5.3	
tfrrs	76894	None	98	-8.26	6.35	-5.3	
tfrrs	26874	None	33	-8.72	5.04	-5.3	
tfrrs	10118	None	38	-9.19	6.61	-5.3	
tfrrs	12087	None	19	-9.46	5.13	-5.3	
tfrrs	74148	None	36	-9.24	6.57	-5.3	
tfrrs	10818	None	30	-8.54	4.34	-5.3	
tfrrs	39989	None	62	-8.22	4.90	-5.3	
anet	379446	1	81	+9.15	6.40	+5.3	
tfrrs	63815	None	21	-10.68	7.31	-5.3	
tfrrs	19981	None	14	-8.87	3.54	-5.3	
tfrrs	14380	None	31	-9.77	7.20	-5.3	
tfrrs	48950	None	59	-8.64	6.46	-5.3	
tfrrs	11016	None	17	-10.08	5.77	-5.3	
tfrrs	18911	None	37	-9.61	7.53	-5.3	
tfrrs	62929	None	16	-8.28	2.64	-5.3	
tfrrs	25855	None	99	-7.92	4.09	-5.3	
tfrrs	85480	None	39	-8.32	4.26	-5.3	
tfrrs	68359	None	38	-9.00	6.19	-5.3	
anet	256617	4	42	+10.14	7.04	+5.3	
tfrrs	76286	None	213	-7.83	4.90	-5.3	
tfrrs	43243	None	96	-8.06	5.18	-5.3	
tfrrs	89241	None	130	-7.85	4.05	-5.3	
tfrrs	87749	None	362	-7.84	6.64	-5.3	
tfrrs	84016	None	74	-8.11	4.84	-5.3	
anet	310221	1	43	+9.60	5.92	+5.3	
tfrrs	44487	None	115	-7.88	4.14	-5.2	
tfrrs	59817	None	26	-9.33	5.81	-5.2	
tfrrs	28468	None	12	-11.29	6.20	-5.2	
tfrrs	76318	None	70	-8.09	4.62	-5.2	
tfrrs	94469	None	191	-8.06	7.33	-5.2	
anet	563264	1	58	+8.85	4.41	+5.2	
tfrrs	17188	None	24	+11.72	7.56	+5.2	
anet	76587	1	66	+9.20	6.07	+5.2	
tfrrs	64973	None	94	-8.42	7.25	-5.2	
tfrrs	49877	None	37	-8.36	4.38	-5.2	
tfrrs	43815	None	41	-9.13	6.83	-5.2	
tfrrs	78607	None	57	-8.93	7.44	-5.2	
tfrrs	85741	None	25	-9.29	5.65	-5.2	
tfrrs	55402	None	91	-8.23	6.19	-5.2	
tfrrs	86146	None	16	-9.52	4.87	-5.2	
anet	229164	1	129	+8.70	5.72	+5.2	
tfrrs	54857	None	50	-8.16	4.28	-5.2	
anet	460727	2	30	+8.93	3.47	+5.2	
tfrrs	33454	None	28	-10.84	8.79	-5.2	
tfrrs	30174	None	30	-10.74	8.93	-5.2	
tfrrs	21329	None	44	-8.30	4.57	-5.2	
tfrrs	62255	None	18	-9.33	4.88	-5.2	
tfrrs	19885	None	16	-8.81	3.77	-5.2	
anet	563267	1	69	+8.55	3.39	+5.2	
tfrrs	46559	None	34	-8.47	4.55	-5.2	
tfrrs	85490	None	117	-7.91	4.69	-5.2	
tfrrs	32732	None	54	-9.11	7.83	-5.2	
anet	159062	4	12	-9.10	3.67	-5.2	
anet	209095	1	74	+8.70	4.37	+5.2	
tfrrs	80998	None	36	-8.82	5.67	-5.2	
anet	83810	1	140	+9.14	8.70	+5.2	
tfrrs	2698	None	29	-8.17	3.33	-5.2	
tfrrs	66180	None	82	-7.83	3.34	-5.2	
tfrrs	76821	None	89	-8.10	5.47	-5.2	
tfrrs	57990	None	15	-12.40	8.25	-5.2	
tfrrs	9327	None	22	-8.51	3.78	-5.2	
tfrrs	68711	None	104	-8.08	5.79	-5.2	
tfrrs	35159	None	20	-9.47	5.40	-5.2	
anet	71751	1	35	+8.94	3.83	+5.2	
tfrrs	40038	None	18	-8.12	2.53	-5.2	
tfrrs	72008	None	95	-8.13	5.87	-5.2	
tfrrs	6386	None	25	-9.88	6.76	-5.2	
tfrrs	94735	None	59	-8.95	7.73	-5.2	
tfrrs	72094	None	33	-8.67	5.09	-5.2	
tfrrs	79869	None	108	-7.85	4.16	-5.2	
tfrrs	73743	None	321	-7.76	5.52	-5.2	
tfrrs	73726	None	78	-8.31	6.28	-5.2	
tfrrs	88356	None	34	-8.67	5.17	-5.2	
tfrrs	71904	None	157	-7.87	5.34	-5.2	
tfrrs	30721	None	35	-10.77	9.78	-5.2	
anet	474505	1	85	+8.58	4.20	+5.2	
anet	75721	1	12	-11.79	6.79	-5.2	
tfrrs	63245	None	29	-8.70	4.87	-5.2	
tfrrs	67932	None	16	-10.13	5.79	-5.2	
tfrrs	14994	None	29	-8.49	4.36	-5.2	
tfrrs	68643	None	23	-9.09	5.14	-5.2	
anet	404716	1	16	-12.74	8.97	-5.2	
tfrrs	54430	None	104	-8.09	6.06	-5.2	
tfrrs	43814	None	33	-9.41	6.88	-5.2	
anet	561611	1	64	+8.65	4.05	+5.2	
anet	439690	2	18	-16.12	13.46	-5.2	
tfrrs	77009	None	31	-8.94	5.64	-5.2	
tfrrs	85106	None	42	-8.01	3.52	-5.2	
tfrrs	40909	None	29	-8.10	3.24	-5.2	
tfrrs	51971	None	215	-7.95	7.37	-5.2	
anet	585475	2	18	-9.27	4.86	-5.2	
tfrrs	42349	None	215	-7.76	5.03	-5.2	
anet	278413	1	59	+8.52	3.25	+5.2	
anet	72954	1	60	+9.05	5.56	+5.2	
tfrrs	15303	None	50	-8.54	5.95	-5.2	
tfrrs	30083	None	25	-9.12	5.45	-5.2	
tfrrs	86154	None	25	-9.41	6.01	-5.2	
tfrrs	8794	None	15	-9.62	4.96	-5.2	
tfrrs	21192	None	14	-8.86	3.69	-5.2	
tfrrs	66232	None	12	-8.59	3.01	-5.2	
anet	159062	3	16	-11.01	6.95	-5.2	
tfrrs	61315	None	45	-7.94	3.38	-5.2	
tfrrs	77383	None	35	-7.96	3.07	-5.2	
tfrrs	11596	None	19	-8.93	4.43	-5.2	
tfrrs	41268	None	157	-7.67	3.05	-5.2	
anet	608178	1	136	+8.65	6.02	+5.2	
tfrrs	22637	None	60	-8.12	4.84	-5.2	
anet	308338	1	12	+10.81	4.60	+5.2	
tfrrs	87260	None	71	-8.36	6.36	-5.2	
tfrrs	43975	None	102	-7.97	5.33	-5.2	
tfrrs	73374	None	41	-8.10	3.91	-5.2	
anet	474360	1	19	-25.22	24.69	-5.2	
tfrrs	67422	None	64	-8.98	8.32	-5.2	
anet	71769	1	69	+8.92	5.55	+5.2	
tfrrs	88167	None	59	-9.50	9.52	-5.2	
tfrrs	72058	None	87	-7.86	4.20	-5.2	
anet	226087	1	53	+9.51	6.68	+5.2	
tfrrs	13370	None	48	-8.29	5.03	-5.2	
tfrrs	40578	None	37	-9.00	6.38	-5.2	
tfrrs	51178	None	40	-8.54	5.39	-5.2	
anet	252092	1	50	+8.74	4.10	+5.2	
anet	522714	1	57	+9.01	5.39	+5.2	
tfrrs	77594	None	51	-8.23	4.95	-5.2	
tfrrs	28991	None	36	-10.25	9.01	-5.2	
anet	448705	1	26	+10.97	7.04	+5.2	
tfrrs	71766	None	82	-7.97	4.82	-5.2	
tfrrs	60044	None	80	-8.10	5.54	-5.2	
tfrrs	93777	None	46	-8.47	5.57	-5.2	
tfrrs	76751	None	12	-8.73	3.26	-5.2	
tfrrs	66860	None	45	-8.41	5.31	-5.2	
anet	123399	1	92	+9.61	9.20	+5.2	
tfrrs	74007	None	37	-8.48	5.04	-5.2	
tfrrs	92119	None	33	-8.26	4.13	-5.2	
tfrrs	42929	None	25	-9.60	6.43	-5.2	
tfrrs	61270	None	85	-7.99	5.16	-5.2	
tfrrs	76791	None	95	-9.57	12.43	-5.2	
anet	166191	10	61	+8.42	2.98	+5.2	
tfrrs	91269	None	22	-9.29	5.50	-5.2	
tfrrs	9443	None	27	-9.75	6.97	-5.2	
tfrrs	71183	None	328	-7.72	6.22	-5.2	
tfrrs	10313	None	56	-9.84	10.26	-5.2	
tfrrs	45801	None	58	-8.12	4.88	-5.2	
anet	197709	3	12	-14.21	9.27	-5.2	
tfrrs	1050	None	28	-13.80	13.57	-5.2	
tfrrs	66205	None	22	-9.68	6.18	-5.2	
anet	626840	1	18	-8.74	4.05	-5.2	
tfrrs	7724	None	40	-9.59	8.14	-5.2	
tfrrs	61107	None	25	-8.37	3.91	-5.2	
tfrrs	32550	None	74	-7.96	4.68	-5.2	
tfrrs	44267	None	25	-8.28	3.68	-5.2	
tfrrs	16051	None	29	-9.08	5.90	-5.2	
anet	319534	3	31	-9.19	6.34	-5.2	
tfrrs	71692	None	64	-9.21	9.18	-5.2	
tfrrs	56656	None	51	-7.90	3.61	-5.2	
anet	383333	1	81	+8.45	3.75	+5.2	
anet	372831	4	31	+9.03	4.14	+5.2	
tfrrs	73924	None	95	-8.30	7.31	-5.2	
anet	209178	1	74	+8.81	5.51	+5.2	
tfrrs	54168	None	51	-7.92	3.75	-5.2	
tfrrs	78728	None	60	-8.34	5.99	-5.2	
tfrrs	19668	None	28	-11.64	10.33	-5.2	
tfrrs	48609	None	133	-7.62	2.87	-5.2	
tfrrs	70679	None	266	-7.77	6.79	-5.2	
tfrrs	83240	None	54	-7.95	4.05	-5.2	
anet	436069	1	27	-9.16	5.90	-5.2	
tfrrs	49561	None	64	-8.03	4.85	-5.1	
anet	613159	1	106	+8.44	4.44	+5.1	
anet	428558	1	75	+8.61	4.67	+5.1	
tfrrs	87163	None	21	-8.80	4.55	-5.1	
tfrrs	66092	None	83	-8.17	6.27	-5.1	
tfrrs	8961	None	90	-8.79	9.36	-5.1	
tfrrs	7742	None	20	-12.61	10.02	-5.1	
tfrrs	77623	None	39	-9.05	6.84	-5.1	
tfrrs	61883	None	63	-8.19	5.55	-5.1	
anet	129911	1	85	+8.80	5.95	+5.1	
tfrrs	32381	None	21	-8.90	4.74	-5.1	
anet	105118	1	22	-11.02	8.31	-5.1	
anet	125577	2	48	+9.67	6.94	+5.1	
tfrrs	9376	None	53	-7.90	3.80	-5.1	
tfrrs	41955	None	62	-8.56	6.98	-5.1	
tfrrs	41956	None	62	-8.56	6.98	-5.1	
tfrrs	75101	None	31	-8.48	4.75	-5.1	
anet	349269	1	26	+11.46	7.84	+5.1	
anet	377843	1	81	+9.30	7.79	+5.1	
tfrrs	80988	None	114	-7.78	4.66	-5.1	
tfrrs	63621	None	112	-7.88	5.45	-5.1	
tfrrs	42090	None	44	-8.07	4.22	-5.1	
tfrrs	90034	None	43	-8.75	6.40	-5.1	
tfrrs	46063	None	14	-10.34	5.83	-5.1	
tfrrs	80535	None	36	-7.97	3.48	-5.1	
tfrrs	32641	None	146	-7.79	5.40	-5.1	
tfrrs	76659	None	60	-7.86	3.86	-5.1	
tfrrs	79656	None	86	-7.67	3.11	-5.1	
tfrrs	52651	None	29	-8.09	3.53	-5.1	
tfrrs	50914	None	25	-10.91	8.70	-5.1	
tfrrs	55004	None	41	-8.44	5.36	-5.1	
tfrrs	64815	None	19	-9.36	5.32	-5.1	
tfrrs	24910	None	45	-8.35	5.33	-5.1	
tfrrs	71631	None	107	-8.59	9.41	-5.1	
tfrrs	79080	None	29	-8.04	3.38	-5.1	
tfrrs	59668	None	119	-7.91	5.93	-5.1	
tfrrs	44736	None	42	-7.91	3.51	-5.1	
tfrrs	83467	None	39	-8.39	5.11	-5.1	
tfrrs	81652	None	90	-8.12	6.38	-5.1	
tfrrs	5325	None	32	-10.11	8.42	-5.1	
tfrrs	74474	None	42	-8.34	5.13	-5.1	
tfrrs	41285	None	20	-8.41	3.70	-5.1	
tfrrs	65553	None	25	-8.36	4.01	-5.1	
anet	278788	2	25	-9.19	5.81	-5.1	
tfrrs	8319	None	69	-8.50	7.24	-5.1	
tfrrs	93778	None	16	-8.29	3.09	-5.1	
tfrrs	34007	None	25	-8.86	5.17	-5.1	
tfrrs	34736	None	28	-8.52	4.68	-5.1	
tfrrs	10255	None	103	-8.04	6.45	-5.1	
anet	143338	3	14	-8.81	3.78	-5.1	
tfrrs	76168	None	80	-7.90	4.87	-5.1	
tfrrs	33995	None	42	-8.16	4.54	-5.1	
tfrrs	56856	None	33	-9.69	7.74	-5.1	
tfrrs	50445	None	81	-8.00	5.51	-5.1	
anet	218009	1	13	-9.28	4.33	-5.1	
anet	438012	1	21	+9.19	3.85	+5.1	
tfrrs	76541	None	48	-10.11	10.36	-5.1	
tfrrs	32828	None	26	-8.22	3.78	-5.1	
tfrrs	35774	None	89	-7.66	3.34	-5.1	
tfrrs	84653	None	17	-7.77	1.88	-5.1	
tfrrs	31635	None	186	-7.74	5.87	-5.1	
tfrrs	91047	None	62	-8.00	4.83	-5.1	
anet	544460	1	20	+10.67	5.97	+5.1	
tfrrs	80968	None	65	-8.03	5.12	-5.1	
anet	463419	2	25	-8.06	3.27	-5.1	
tfrrs	68706	None	82	-7.78	4.26	-5.1	
anet	512769	2	15	+11.43	5.99	+5.1	
tfrrs	83146	None	69	-8.25	6.35	-5.1	
anet	405795	1	18	+12.02	7.22	+5.1	
tfrrs	84665	None	16	-10.01	5.86	-5.1	
tfrrs	32318	None	32	-9.59	7.46	-5.1	
anet	392709	1	14	+9.78	3.98	+5.1	
tfrrs	9539	None	51	-7.74	3.16	-5.1	
tfrrs	13408	None	18	-9.10	4.84	-5.1	
tfrrs	82577	None	58	-8.05	4.98	-5.1	
tfrrs	6412	None	15	-8.48	3.40	-5.1	
tfrrs	9450	None	133	-7.68	4.46	-5.1	
anet	124199	1	34	-7.97	3.55	-5.1	
tfrrs	51822	None	70	-8.11	5.77	-5.1	
anet	448990	2	26	-9.00	5.63	-5.1	
anet	246312	1	66	-9.12	9.36	-5.1	
anet	34358	2	15	-8.87	4.07	-5.1	
tfrrs	44574	None	57	-7.75	3.47	-5.1	
anet	203933	1	99	+8.94	7.43	+5.1	
tfrrs	18595	None	25	-8.46	4.36	-5.1	
tfrrs	61885	None	70	-7.62	2.85	-5.1	
tfrrs	71963	None	29	-8.82	5.56	-5.1	
anet	78388	1	177	+8.81	9.21	+5.1	
anet	226007	1	24	-7.97	3.00	-5.1	
anet	284156	3	38	-8.72	6.11	-5.1	
anet	384025	1	107	+8.83	7.23	+5.1	
tfrrs	63663	None	186	-7.73	6.10	-5.1	
anet	341205	2	30	-8.17	4.02	-5.1	
anet	251961	2	34	+10.03	6.73	+5.1	
anet	168020	1	28	+9.44	5.04	+5.1	
anet	138176	1	104	+9.35	9.38	+5.1	
anet	408315	1	13	+9.80	3.90	+5.1	
tfrrs	79805	None	19	-9.08	4.98	-5.1	
tfrrs	76377	None	72	-8.46	7.51	-5.1	
tfrrs	55118	None	58	-7.86	4.24	-5.1	
tfrrs	41848	None	321	-7.60	5.98	-5.1	
anet	167530	1	69	+8.75	5.58	+5.1	
tfrrs	85563	None	111	-7.89	6.08	-5.1	
tfrrs	75130	None	149	-7.60	4.13	-5.1	
tfrrs	77436	None	82	-8.02	5.96	-5.1	
tfrrs	78515	None	52	-7.99	4.63	-5.1	
tfrrs	10555	None	59	-8.29	6.17	-5.1	
anet	604143	1	84	+8.70	5.94	+5.1	
anet	352415	5	37	-7.92	3.63	-5.1	
tfrrs	91064	None	94	-7.91	5.75	-5.1	
tfrrs	91553	None	35	-8.63	5.71	-5.1	
tfrrs	16094	None	17	-8.52	3.76	-5.1	
anet	513228	3	17	+10.15	4.95	+5.1	
tfrrs	50228	None	29	-8.84	5.68	-5.1	
tfrrs	73276	None	85	-8.57	8.64	-5.1	
tfrrs	69450	None	42	-8.13	4.68	-5.1	
tfrrs	58718	None	30	-8.54	5.07	-5.1	
tfrrs	3024	None	41	-8.44	5.63	-5.1	
tfrrs	53340	None	62	-8.08	5.48	-5.1	
tfrrs	73661	None	60	-8.05	5.28	-5.1	
tfrrs	25323	None	27	-8.58	4.91	-5.1	
tfrrs	58680	None	92	-8.13	6.94	-5.1	
tfrrs	60674	None	38	-8.92	6.72	-5.1	
tfrrs	77388	None	95	-7.55	2.86	-5.1	
anet	648867	1	70	+8.47	4.40	+5.1	
tfrrs	10711	None	17	-11.10	7.58	-5.1	
tfrrs	80172	None	49	-7.71	3.17	-5.1	
anet	459269	1	36	-8.99	6.71	-5.1	
tfrrs	29975	None	38	-8.03	4.15	-5.1	
anet	417610	2	33	+10.97	8.30	+5.1	
tfrrs	57385	None	160	-7.58	4.23	-5.1	
tfrrs	21281	None	54	-9.72	10.21	-5.1	
tfrrs	82575	None	47	-7.99	4.46	-5.1	
anet	336167	1	45	-9.51	8.83	-5.1	
anet	563223	1	56	+8.49	4.06	+5.1	
anet	590347	1	14	-8.85	3.98	-5.1	
tfrrs	47915	None	25	-8.69	4.99	-5.1	
tfrrs	12980	None	67	-8.04	5.56	-5.1	
tfrrs	40516	None	30	-8.45	4.88	-5.1	
tfrrs	71503	None	65	-8.06	5.63	-5.1	
tfrrs	81946	None	108	-7.80	5.56	-5.1	
tfrrs	80725	None	40	-9.20	7.63	-5.1	
tfrrs	75138	None	39	-8.31	5.17	-5.1	
anet	125554	3	85	+8.68	6.04	+5.1	
tfrrs	88664	None	81	-7.79	4.71	-5.1	
anet	164967	1	97	+8.85	7.26	+5.1	
tfrrs	57926	None	123	-7.73	5.32	-5.1	
anet	353421	1	14	-8.07	2.64	-5.1	
tfrrs	9342	None	105	-7.75	5.16	-5.1	
tfrrs	68018	None	63	-8.04	5.45	-5.1	
anet	409292	1	20	-8.90	4.89	-5.1	
tfrrs	15546	None	65	-8.42	7.12	-5.1	
anet	459442	1	15	-9.13	4.58	-5.1	
anet	260427	1	56	+8.54	4.39	+5.1	
tfrrs	33588	None	34	-10.50	9.68	-5.1	
anet	431653	1	33	-8.62	5.62	-5.1	
tfrrs	85642	None	44	-7.76	3.43	-5.1	
anet	202256	1	60	+9.14	6.73	+5.1	
tfrrs	78227	None	66	-8.05	5.69	-5.1	
tfrrs	48548	None	46	-7.64	2.88	-5.1	
