meet	div	n	med_gap	iqr	clean_frac	shape
24074	1	38	-38.0	3.1	0.00	TRANSLATION
24164	3	13	-38.4	3.5	0.00	TRANSLATION
24175	1	68	-41.5	3.1	0.00	TRANSLATION
24302	1	22	-39.3	5.9	0.00	TRANSLATION
24332	1	33	-39.3	2.7	0.03	TRANSLATION
24470	1	96	-39.0	3.6	0.00	TRANSLATION
24483	1	46	-38.1	3.1	0.00	TRANSLATION
24538	1	58	-42.9	2.3	0.00	TRANSLATION
24684	1	35	-39.6	3.2	0.00	TRANSLATION
24735	1	27	-39.4	4.7	0.00	TRANSLATION
24932	1	28	+65.3	20.5	0.00	MIXTURE
25041	1	17	-39.2	5.1	0.00	TRANSLATION
25179	1	13	-39.0	3.3	0.00	TRANSLATION
25211	1	16	-38.9	1.7	0.00	TRANSLATION
25234	1	80	-38.4	3.4	0.00	TRANSLATION
25435	3	69	-41.8	5.3	0.00	TRANSLATION
25528	1	47	+65.1	59.4	0.21	MIXTURE
25912	1	35	-39.8	7.4	0.03	TRANSLATION
25925	1	76	-39.0	3.6	0.00	TRANSLATION
26006	1	42	-39.6	4.1	0.00	TRANSLATION
26070	1	60	-39.9	2.9	0.00	TRANSLATION
26074	0	33	+66.0	9.7	0.00	TRANSLATION
26082	1	44	-39.3	5.2	0.00	TRANSLATION
26083	1	65	-40.1	3.9	0.00	TRANSLATION
26121	1	16	+61.7	20.6	0.00	MIXTURE
26318	1	31	-41.3	4.8	0.00	TRANSLATION
26323	2	21	+59.5	10.9	0.00	MIXTURE
26359	0	69	+66.5	9.2	0.00	TRANSLATION
26359	2	30	+65.0	9.0	0.00	TRANSLATION
26378	1	41	-38.6	4.3	0.00	TRANSLATION
26521	1	58	-39.8	3.3	0.00	TRANSLATION
26524	1	16	-41.4	2.1	0.00	TRANSLATION
26758	3	99	-38.6	3.4	0.00	TRANSLATION
26846	1	53	-38.7	3.0	0.00	TRANSLATION
26902	1	16	-45.0	6.4	0.00	TRANSLATION
26940	1	32	-40.1	2.6	0.00	TRANSLATION
27020	1	203	-51.9	2.6	0.00	TRANSLATION
27061	1	47	+61.6	39.2	0.00	MIXTURE
27066	1	16	-44.8	3.3	0.00	TRANSLATION
27095	1	47	+61.6	39.2	0.00	MIXTURE
27122	1	79	-40.7	3.5	0.01	TRANSLATION
27141	1	62	-40.8	4.1	0.00	TRANSLATION
27201	1	34	-37.1	5.3	0.00	TRANSLATION
27213	1	44	+68.5	11.0	0.00	MIXTURE
27802	120956	33	-37.6	2.3	0.00	TRANSLATION
32725	141981	48	-40.4	4.2	0.00	TRANSLATION
33116	143724	20	-46.8	26.1	0.05	MIXTURE
34600	279319	133	-54.3	2.1	0.00	TRANSLATION
34884	151327	24	-38.4	6.0	0.17	TRANSLATION
34884	151329	15	-39.1	9.8	0.20	TRANSLATION
35666	175628	33	-46.1	5.8	0.00	TRANSLATION
38753	166556	36	-40.8	2.8	0.00	TRANSLATION
38869	167012	66	-40.4	2.4	0.00	TRANSLATION
41563	178604	21	-39.1	4.5	0.00	TRANSLATION
42993	185304	51	-44.0	4.3	0.00	TRANSLATION
42993	185305	21	-45.9	4.8	0.00	TRANSLATION
50280	214276	23	-33.7	7.2	0.00	TRANSLATION
50280	214277	23	-37.1	4.9	0.00	TRANSLATION
50928	216949	29	-43.6	2.1	0.00	TRANSLATION
52567	223756	22	-44.9	3.4	0.00	TRANSLATION
53287	301522	19	-35.0	6.6	0.00	TRANSLATION
53287	301523	20	-36.7	8.0	0.10	TRANSLATION
57339	271385	25	-38.9	4.3	0.16	TRANSLATION
57377	245655	18	-38.6	1.4	0.06	TRANSLATION
58472	250310	18	-38.5	3.4	0.06	TRANSLATION
61405	275187	40	-41.0	7.3	0.00	TRANSLATION
61405	275188	19	-38.4	4.4	0.00	TRANSLATION
62585	302185	23	-54.3	2.7	0.00	TRANSLATION
65728	284059	13	-54.1	4.6	0.00	TRANSLATION
71699	295014	112	-40.9	7.0	0.00	TRANSLATION
76680	304949	13	-36.5	4.5	0.00	TRANSLATION
83982	330068	15	-48.8	5.8	0.13	TRANSLATION
87089	345416	31	-38.6	3.2	0.00	TRANSLATION
87089	345417	36	-37.9	7.2	0.00	TRANSLATION
90197	384796	16	-45.1	5.5	0.00	TRANSLATION
92401	364823	19	-37.2	5.2	0.00	TRANSLATION
92983	367376	104	-39.7	3.0	0.00	TRANSLATION
102555	404948	65	+18.6	45.4	0.40	MIXTURE
103109	452752	91	-47.0	6.2	0.00	TRANSLATION
103109	452753	89	-45.8	5.6	0.00	TRANSLATION
105175	414042	51	-38.6	6.4	0.00	TRANSLATION
105175	414043	31	-39.7	4.1	0.00	TRANSLATION
105805	458294	16	-50.5	50.7	0.38	MIXTURE
105805	458295	15	-45.6	45.2	0.33	MIXTURE
107122	423078	19	-39.1	6.2	0.00	TRANSLATION
112778	447458	21	-52.4	4.1	0.00	TRANSLATION
116110	464290	51	-40.0	4.6	0.00	TRANSLATION
116164	464613	65	-38.4	4.0	0.00	TRANSLATION
116573	466934	66	-38.3	2.8	0.00	TRANSLATION
116992	468789	93	-45.7	4.3	0.00	TRANSLATION
119612	506390	124	-43.9	4.7	0.00	TRANSLATION
122945	494162	57	-41.3	5.2	0.02	TRANSLATION
122945	494164	27	-43.0	3.9	0.00	TRANSLATION
124404	500338	41	-39.0	3.9	0.02	TRANSLATION
126487	585534	16	-38.6	9.2	0.00	TRANSLATION
128575	522421	51	-39.2	3.8	0.00	TRANSLATION
130220	529755	18	-39.5	4.6	0.00	TRANSLATION
130490	531077	63	-43.7	5.6	0.00	TRANSLATION
136216	559620	46	-39.6	3.6	0.00	TRANSLATION
136216	559621	46	-40.3	3.5	0.00	TRANSLATION
136216	559622	32	-40.8	3.8	0.00	TRANSLATION
136216	559623	22	-41.2	2.8	0.00	TRANSLATION
138883	575045	25	-41.8	9.6	0.00	TRANSLATION
138967	575683	21	-51.2	8.8	0.00	TRANSLATION
139716	580398	19	-62.3	1.9	0.00	TRANSLATION
140464	585004	19	-38.0	5.0	0.00	TRANSLATION
140581	585756	19	-46.7	2.7	0.00	TRANSLATION
141136	589275	19	-41.0	3.4	0.00	TRANSLATION
141892	593758	65	-40.5	5.1	0.00	TRANSLATION
141892	593762	65	-40.4	3.6	0.00	TRANSLATION
142033	594587	92	-39.5	4.7	0.00	TRANSLATION
142033	594590	28	-38.8	3.6	0.00	TRANSLATION
142044	594644	76	-43.7	3.5	0.00	TRANSLATION
142044	594646	22	-42.3	2.7	0.00	TRANSLATION
142146	595166	53	-43.0	3.8	0.00	TRANSLATION
142146	595169	43	-42.3	4.2	0.00	TRANSLATION
142483	597135	26	-49.7	5.3	0.00	TRANSLATION
142483	597136	30	-47.3	4.2	0.00	TRANSLATION
143949	604250	16	-39.0	3.0	0.00	TRANSLATION
146710	624224	16	-41.4	18.2	0.12	MIXTURE
147090	635926	34	-37.1	4.0	0.00	TRANSLATION
151719	629322	55	-46.5	6.5	0.00	TRANSLATION
151719	629323	30	-45.7	1.8	0.00	TRANSLATION
162731	673134	31	-52.5	4.1	0.00	TRANSLATION
163795	676377	32	-37.2	7.8	0.00	TRANSLATION
163795	676378	14	-39.0	4.1	0.00	TRANSLATION
168935	698739	33	-40.8	3.6	0.00	TRANSLATION
168935	698743	40	-40.6	3.1	0.00	TRANSLATION
174759	717161	20	-39.1	4.2	0.00	TRANSLATION
174765	717166	15	-37.9	6.8	0.00	TRANSLATION
176914	724206	34	-44.0	4.3	0.00	TRANSLATION
193001	807098	394	-53.1	62.6	0.46	MIXTURE
195560	786211	33	-38.8	4.9	0.00	TRANSLATION
197447	791238	13	-44.6	3.7	0.00	TRANSLATION
197513	791357	21	+92.4	26.8	0.00	MIXTURE
197513	791358	19	+82.7	36.3	0.00	MIXTURE
197776	792428	14	-46.9	7.7	0.00	TRANSLATION
197776	792430	27	-42.4	4.4	0.00	TRANSLATION
197776	792431	17	-42.7	2.0	0.00	TRANSLATION
198624	795850	54	-39.7	3.7	0.04	TRANSLATION
199300	798809	16	+116.4	18.3	0.00	MIXTURE
200198	802861	19	-36.8	3.3	0.00	TRANSLATION
203074	814068	31	-50.8	4.0	0.00	TRANSLATION
204027	818406	25	-44.0	3.6	0.00	TRANSLATION
213088	850001	15	-50.5	4.7	0.00	TRANSLATION
215308	859187	23	-38.1	3.5	0.00	TRANSLATION
219105	877148	21	-42.9	2.7	0.00	TRANSLATION
229610	915456	73	-37.6	4.4	0.00	TRANSLATION
229610	915457	46	-37.6	3.8	0.00	TRANSLATION
232597	928567	209	-40.3	4.6	0.00	TRANSLATION
233695	933689	25	+61.9	9.3	0.00	TRANSLATION
237804	950578	17	-50.7	1.3	0.00	TRANSLATION
243247	969385	20	-42.9	3.4	0.00	TRANSLATION
243768	971156	42	-38.4	4.1	0.00	TRANSLATION
244377	973047	41	-41.3	4.3	0.00	TRANSLATION
249257	990876	64	-39.1	3.0	0.00	TRANSLATION
249661	992602	34	-38.1	3.6	0.00	TRANSLATION
251230	1009512	18	-38.4	3.1	0.00	TRANSLATION
255603	1016469	50	+59.8	12.3	0.00	MIXTURE
256239	1051013	47	-41.4	3.4	0.00	TRANSLATION
259219	1029166	24	-41.9	3.9	0.00	TRANSLATION
259219	1029167	34	-39.8	6.2	0.00	TRANSLATION
270086	1075180	42	-52.3	1.4	0.00	TRANSLATION
