# tfrrs_meet	top_score	runner_score	tfrrs_location_raw   (ambiguous -> geocode pile)
12505	1.00	1.00	Montana Missoula, MT 59812
12208	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12198	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12192	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12204	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12195	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12193	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12213	1.00	1.00	Illinois-Chicago Chicago, IL 60608
10060	1.00	1.00	Lake Casitas Ventura, CA 93001
12190	1.00	1.00	Illinois-Chicago Chicago, IL 60608
13639	1.00	1.00	Florida Tech Melbourne, FL 32901
11673	1.00	1.00	Stockton University Galloway, NJ 08205
11664	1.00	1.00	Grover Nelson Park Abilene, TX 79602
12223	1.00	1.00	Illinois-Chicago Chicago, IL 60608
20776	1.00	1.00	Steve Woodland Hills, CA 91371
23137	1.00	1.00	Freedom (Tampa) Tampa, FL 33647
21768	1.00	1.00	Ridge Community HS Davenport, FL
23088	1.00	1.00	Long Island Brooklyn, NY 11201
13361	1.00	1.00	Wallace State 801 N. Main Street Hanceville, AL 35077
23938	1.00	1.00	Delaware Newark, DE 19716
23532	1.00	1.00	Woodland Park WOODWARD PARK Fresno, CA
23541	1.00	1.00	Indian River County Fairgrounds Vero Beach, FL 32963
23690	1.00	1.00	Midwestern St Wichita Falls, TX
22620	1.00	1.00	Lake Boney Park Lakeland, FL
23095	1.00	1.00	Brewton MS Brewton, AL 35487
23089	1.00	1.00	Plantes Ferry Park & Sports Complex Spokane, WA 99251
13349	1.00	1.00	Oberlin College Oberlin, OH 44074
23930	1.00	1.00	Huntington Univ Huntington, IN 46750
12503	1.00	1.00	Montana Missoula, MT 59812
22694	1.00	1.00	Delta Muncie, IN 47303
25116	1.00	1.00	TRM Brewton, AL 35487
12504	1.00	1.00	Montana Missoula, MT 59812
12502	1.00	1.00	Montana Missoula, MT 59812
12209	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12194	1.00	1.00	Illinois-Chicago Chicago, IL 60608
12207	1.00	1.00	Illinois-Chicago Chicago, IL 60608
26346	1.00	1.00	Brown Mark Coogan Cross Country Course at Highland Park - Attleboro, MA 02912
23378	1.00	1.00	East Ridge High School Clermont, FL 34711
25766	1.00	1.00	University of Rio Grande F34 Rio Grande, OH 45601
24989	1.00	1.00	Palmer Trinity Miami, FL 33157
13319	1.00	1.00	Columbia International University Columbia, SC 29203
26341	1.00	1.00	NIACC 500 College Dr Mason City, IA 50401
16534	1.00	1.00	Winthrop Farm XC Course Rock Hill, SC 29733
25024	1.00	1.00	Greenfield Park Milwaukee, WI 30066
14178	1.00	1.00	Wingate University 224 East Wilson St. Wingate, NC 28174
25125	1.00	1.00	Bethpage State Park Farmingdale, NY
25661	1.00	1.00	Centennial 1485 SW Cashmere Blvd Port St. Lucie, FL 34986
25369	1.00	1.00	South Lake High School Groveland, FL 34736
