# kind	source	meet_id	div_id	n	c_pct	iqr_pct	d_eff	seasons_flagged	seasons_total	already	proposed	decision	target
# decision <- KEEP/OVERRIDE/DROP/GENDER ; target <- metres or M/F
# c_pct = whole-field spike vs each runner's OWN bracket
DIV	tfrrs	47797	None	12	-13.3	5.4	1459	na	na	-	INVESTIGATE		
DIV	tfrrs	67109	None	32	-13.3	8.9	662	na	na	-	INVESTIGATE		
DIV	anet	454166	1	13	-13.3	14.9	657	na	na	-	INVESTIGATE		
DIV	tfrrs	4693	None	12	-13.3	2.7	640	na	na	-	INVESTIGATE		
DIV	anet	157690	1	13	+15.2	9.6	1416	na	na	-	INVESTIGATE		
DIV	anet	60084	1	99	+15.2	3.4	1429	na	na	-	INVESTIGATE		
DIV	tfrrs	96011	None	54	-13.2	7.5	1431	na	na	-	INVESTIGATE		
DIV	anet	142040	1	12	+15.2	3.4	3070	na	na	-	INVESTIGATE		
DIV	tfrrs	11211	None	13	-13.2	4.6	1429	na	na	-	INVESTIGATE		
DIV	anet	422170	2	16	-13.1	4.8	1037	na	na	-	INVESTIGATE		
DIV	anet	59535	1	14	+15.1	8.2	648	na	na	-	INVESTIGATE		
DIV	tfrrs	88794	None	36	-13.1	4.9	1428	na	na	-	INVESTIGATE		
DIV	anet	192284	1	30	-13.1	10.1	1830	na	na	-	INVESTIGATE		
DIV	tfrrs	48995	None	36	-13.1	6.1	1461	na	na	-	INVESTIGATE		
DIV	tfrrs	6475	None	12	+15.0	21.0	1417	na	na	-	INVESTIGATE		
DIV	tfrrs	17039	None	22	+15.0	10.3	646	na	na	-	INVESTIGATE		
DIV	tfrrs	73407	None	18	-13.1	6.8	1447	na	na	-	INVESTIGATE		
DIV	tfrrs	37846	None	25	-13.1	5.9	1450	na	na	-	INVESTIGATE		
DIV	tfrrs	13954	None	15	-13.0	6.4	1428	na	na	-	INVESTIGATE		
DIV	tfrrs	43609	None	76	-13.0	5.4	1444	na	na	-	INVESTIGATE		
DIV	tfrrs	45624	None	15	-13.0	7.6	1452	na	na	-	INVESTIGATE		
DIV	anet	539559	2	14	-13.0	22.7	1408	na	na	-	INVESTIGATE		
DIV	tfrrs	14048	None	74	-13.0	4.7	1428	na	na	-	INVESTIGATE		
DIV	tfrrs	38500	None	60	-12.9	5.5	1450	na	na	-	INVESTIGATE		
DIV	tfrrs	51829	None	62	-12.9	4.3	1445	na	na	-	INVESTIGATE		
DIV	anet	129681	1	55	+14.9	74.6	1415	na	na	-	INVESTIGATE		
DIV	anet	371395	2	12	-12.9	7.7	1327	na	na	-	INVESTIGATE		
DIV	tfrrs	53564	None	37	-12.9	5.2	674	na	na	-	INVESTIGATE		
DIV	tfrrs	63198	None	40	-12.9	6.3	1453	na	na	-	INVESTIGATE		
DIV	tfrrs	76654	None	47	-12.9	4.9	1439	na	na	-	INVESTIGATE		
DIV	tfrrs	38436	None	46	-12.8	8.2	1450	na	na	-	INVESTIGATE		
DIV	tfrrs	11013	None	66	-12.8	6.7	1429	na	na	-	INVESTIGATE		
DIV	anet	186904	1	14	-12.8	34.6	826	na	na	-	INVESTIGATE		
DIV	tfrrs	19948	None	51	-12.8	4.2	1446	na	na	-	INVESTIGATE		
DIV	anet	74730	1	21	-12.8	8.1	814	na	na	-	INVESTIGATE		
DIV	anet	371778	1	17	-12.8	6.3	1436	na	na	-	INVESTIGATE		
DIV	tfrrs	75595	None	12	-12.7	3.2	1056	na	na	-	INVESTIGATE		
DIV	anet	247018	1	13	-12.7	20.3	1430	na	na	-	INVESTIGATE		
DIV	anet	493926	1	42	-12.7	14.0	1410	na	na	-	INVESTIGATE		
DIV	anet	316883	1	83	-12.7	8.9	1834	na	na	-	INVESTIGATE		
DIV	anet	384492	1	17	-12.7	11.4	5091	na	na	-	INVESTIGATE		
DIV	anet	131114	1	75	-12.7	7.3	1819	na	na	-	INVESTIGATE		
DIV	tfrrs	49016	None	65	-12.7	5.0	1445	na	na	-	INVESTIGATE		
DIV	tfrrs	24794	None	22	-12.7	11.7	1436	na	na	-	INVESTIGATE		
DIV	anet	85788	2	54	-12.7	9.6	1843	na	na	-	INVESTIGATE		
DIV	tfrrs	9049	None	16	-12.7	4.3	1432	na	na	-	INVESTIGATE		
