# kind	source	meet_id	div_id	n	c_pct	iqr_pct	d_eff	seasons_flagged	seasons_total	already	proposed	decision	target
# decision <- KEEP/OVERRIDE/DROP/GENDER ; target <- metres or M/F
# c_pct = whole-field spike vs each runner's OWN bracket
DIV	tfrrs	9306	2	13	-38.5	5.7	1826	na	na	-	INVESTIGATE		
DIV	tfrrs	10206	0	26	-38.4	3.9	3990	na	na	-	INVESTIGATE		
DIV	anet	249257	990876	58	-38.4	4.8	3089	11	14	-	PERSISTENT		
DIV	tfrrs	26359	1	82	+62.0	8.7	8299	na	na	-	INVESTIGATE		
DIV	tfrrs	9306	1	14	-38.3	5.7	1826	na	na	-	INVESTIGATE		
DIV	tfrrs	5300	0	30	-38.2	3.9	5055	na	na	OVERRIDE	REGRESSION		
DIV	anet	229610	915457	39	-38.2	4.7	1851	3	7	-	INVESTIGATE		
DIV	anet	249661	992602	28	-38.2	4.9	3087	1	5	-	INVESTIGATE		
DIV	anet	243768	971156	36	-38.2	5.0	3108	1	2	-	INVESTIGATE		
DIV	tfrrs	7873	0	30	-38.2	3.5	1826	na	na	-	INVESTIGATE		
DIV	anet	105175	414043	24	-38.1	6.7	2239	2	11	-	INVESTIGATE		
DIV	anet	229610	915456	54	-38.1	6.9	1857	3	7	-	INVESTIGATE		
DIV	anet	100907	397014	87	-38.1	5.1	3089	3	10	-	INVESTIGATE		
DIV	anet	200198	802861	17	-38.1	3.0	5131	1	5	-	INVESTIGATE		
DIV	anet	143949	604248	16	-38.1	6.8	3104	1	2	-	INVESTIGATE		
DIV	anet	107122	423078	19	-38.1	7.4	836	4	5	-	PERSISTENT		
DIV	anet	163795	676377	30	-38.0	5.3	1463	2	14	-	INVESTIGATE		
DIV	tfrrs	26359	3	40	+61.0	7.2	8299	na	na	-	INVESTIGATE		
DIV	anet	215308	859187	18	-37.9	3.2	5071	2	14	-	INVESTIGATE		
DIV	anet	218958	876254	25	-37.8	8.8	1446	1	13	-	INVESTIGATE		
DIV	anet	136216	559619	17	-37.8	4.3	1731	1	22	-	INVESTIGATE		
DIV	anet	92506	365294	13	-37.8	13.1	681	7	21	-	INVESTIGATE		
DIV	tfrrs	9235	0	55	-37.8	5.5	5048	na	na	OVERRIDE	REGRESSION		
DIV	tfrrs	26359	0	56	+60.5	5.0	8206	na	na	-	INVESTIGATE		
DIV	tfrrs	14170	1	19	-37.6	11.6	1429	na	na	-	INVESTIGATE		
DIV	anet	92401	364823	19	-37.6	7.8	837	4	5	-	PERSISTENT		
DIV	anet	87089	345416	23	-37.6	4.1	3084	1	18	-	INVESTIGATE		
DIV	tfrrs	8103	0	70	-37.6	4.3	5048	na	na	-	INVESTIGATE		
DIV	anet	147090	635926	31	-37.6	5.3	1840	1	17	-	INVESTIGATE		
DIV	tfrrs	8436	1	169	-37.5	4.2	3985	na	na	OVERRIDE	REGRESSION		
