# tfrrs_meet	score	runner	location_id	gps_lat	gps_long	anet_course_name	tfrrs_location_raw
950	1.00	0.00	23061	43.46084	-85.95441	Fremont MS	Fremont 101 Main Fremont, MI 40412
10035	1.00	0.50	999	30.51534	-87.36921	Escambia County Equestrian Center	Escambia County Equestrian Center Pensacola, FL 32526
20147	1.00	0.50	10228	42.87416	-72.27923	Monadnock Regional High School	Monadnock Regional High School East Swanzey, NH 03446
20128	1.00	0.00	22472	38.362286	-75.58607	Salisbury Park	Winter Place Park Salisbury, MD 21801
26002	1.00	0.00	21073	42.733547	-71.59456	Hollis Brookline High School	Hollis/Brookline High School 24 Cavalier Court Hollis, NH 03049
8716	1.00	0.00	9177	44.881985	-68.67743	Orono High School	UMaine Orono, ME 04469
21765	1.00	0.25	46576	28.226686	-81.58783	Davenport High School	RCHS Davenport, FL
15435	1.00	0.75	12517	38.975304	-76.48879	St. Mary's School - High School	Mount St. Mary's Univerisity Emmitsburg, MD 21727
8963	1.00	0.67	41193	33.380165	-84.25535	Hampton High School	Nash Farm Battlefield Park Hampton, GA 30228
8365	1.00	0.50	10997	40.376152	-82.39579	Kenyon College	Kenyon College Gambier, OH 12345
8356	1.00	0.25	5892	36.096203	-94.16504	University of AR XC course	Hampden-Sydney College City Not Supplied, AR
26247	1.00	0.33	16806	41.097534	-85.13522	North Side High School	South Side Annex , IN
8925	1.00	0.00	21787	39.421665	-76.701294	Stevenson University	Stevenson University Stevenson, MD 21153
1040	1.00	0.50	48628	41.25654	-95.9345	Omaha	Millard South Omaha, NE 68137
1059	1.00	0.50	3992	44.52818	-88.35002	Crystal Springs Golf Course	Crystal Springs Course Marquette, WI 49855
1020	1.00	0.00	23061	43.46084	-85.95441	Fremont MS	Fremont 24 Cavalier Court Fremont, MI 49412
1042	1.00	0.50	47541	33.38955	-111.87354	Mesa Community College	Mesa Thunderbird Cross Country Classic , AZ
21027	1.00	0.50	1796	44.885315	-93.74302	Crown College	crown college St. Bonifacius, MN
